"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
0.606275767160719,4.4574616698862,6.41131239191091,2.58349770335368e-08,1.272130415992e-05,8.90497954951961,"IKBIP","NS",""
-0.840471579126999,5.18832937877518,-6.34927928696376,3.28530820027182e-08,1.56868488823282e-05,8.67897794469508,"SLCO2A1","NS",""
-0.582605307835535,3.76166796669134,-6.21561776275431,5.50715463904138e-08,2.5522422249228e-05,8.19316398113813,"PDGFRA","NS",""
0.571432145785063,3.67293386662168,6.19269902526752,6.01614480645525e-08,2.67605906679313e-05,8.11003373225558,"CCNB2","NS",""
-0.863633276837991,4.25696568320777,-6.18851479001652,6.11398910989101e-08,2.67605906679313e-05,8.09486253751166,"ST6GALNAC5","NS",""
0.984877987702602,4.40604311283145,6.14170398897214,7.32237395497503e-08,3.11834179482545e-05,7.92526041211747,"CCNB1","NS",""
-0.619707882561489,4.25685304949081,-6.1186627412098,8.00142803239319e-08,3.31785530280051e-05,7.84186484720636,"TESC","NS",""
0.572248858007916,4.03317243920365,6.00870072644171,1.22069678114597e-07,4.83322701548476e-05,7.44470059542117,"CENPH","NS",""
-1.05192172993143,5.34591484336349,-6.00737010371575,1.22694091907971e-07,4.83322701548476e-05,7.43990342484259,"SEMA6A","Down","SEMA6A"
-0.757487037325601,5.19719484239705,-5.97122311675078,1.40922693018777e-07,5.41589969243138e-05,7.30967058304502,"DLGAP1-AS1","NS",""
-0.803958959673454,4.70126748362409,-5.93977478850075,1.58949351811004e-07,5.96324984877615e-05,7.19650194038637,"SHC3","NS",""
0.327264657442735,4.00068393983982,5.8785478523447,2.00850757980244e-07,7.33874179596124e-05,6.97654966921472,"DCAF15","NS",""
-0.561652248521231,4.68350733575101,-5.87328301009623,2.04927739431551e-07,7.33874179596124e-05,6.95766011172441,"STAB1","NS",""
0.458784819401734,4.25730449898935,5.86546784078058,2.11131220572528e-07,7.3928769834696e-05,6.92962745612837,"C4orf46","NS",""
1.2408846152509,4.46479833006951,5.85781604332414,2.17385107316746e-07,7.44638507823907e-05,6.90218912232174,"PBK","Up","PBK"
1.15903700539999,3.74087794381122,5.83438420038971,2.37699666966507e-07,7.96900777104523e-05,6.81821738189679,"TOP2A","Up","TOP2A"
0.712288637846038,5.02339928252709,5.80727051689612,2.63560712204399e-07,8.65192946292649e-05,6.72115019792724,"SMC4","NS",""
-0.671219115233487,4.77945375330088,-5.80096642461212,2.69961805085339e-07,8.6812003321014e-05,6.69859697092023,"SPOCK2","NS",""
0.82290230753242,5.27524924450209,5.79454340618968,2.76641888208404e-07,8.71809246499964e-05,6.67562434963809,"ZWINT","NS",""
0.413340618434612,5.8607403059418,5.77785924898694,2.94767825971778e-07,9.10716987026923e-05,6.61598051898119,"DDX41","NS",""
